Course,Type,Sub-topics,Description,Link 
Artificial Intelligence,Courseware,Getting Started with Enterprise-grade AI,"This course covers the foundations of AI for business, including the following topics: AI Evolution, AI Industry Adoption Trends, NLP and Virtual Agents.",https://skillsbuild.org/college-students/digital-credentials/getting-started-with-enterprise-grade-ai 
Artificial Intelligence,Courseware,OpenDS4All,"OpenDS4All is a project created to accelerate the creation of data science curricula at academic institutions. While a great deal of online material is available for data science, including online courses, we recognize that the best way for many students to learn (and for many institutions to deliver) content is through a combination of lectures, recitation or flipped classroom activities, and hands-on assignments.OpenDS4All attempts to fill this important niche. Our goal is to provide recommendations, slide sets, sample Jupyter notebooks, and other materials for creating, customizing, and delivering data science and data engineering education. The project hosts educational modules that may be used as building blocks for a data science curriculum.",https://github.com/odpi/OpenDS4All/tree/master/opends4all-resources
Artificial Intelligence,Courseware,IBM AI Education,"Dive into this introductory course and get familiar with the basics of AI. Learn and define five key terms (AI, neural network, big data, algorithm and ML) through analogy, interactive games and activities. Build tools to use with your own students to expose them to AI concepts, and hear from an IBM expert about the importance of play in education. Learn how to teach your students to solve real-life problems using AI. Get access to AI teaching tools and resources, such as a sorting activity that activates prior knowledge about AI, an engaging game that teaches computational thinking, and a curated collection of videos that illustrate how AI affects future jobs, shapes social media experiences, helps keep communities safe, and more. How do ethics come into play in AI? The moral dilemmas in AI are complex, but the issues are critical, generating material for educators across disciplines to initiate authentic and relevant discussions with their students. Hear from an IBM AI expert on the breadth and depth of this topic and walk away with resources and activities to exemplify and frame these conversations. Address a common fear: Will robots take my job? To answer this question, you will understand where human discomfort with robots comes from, examine the difference between a robot and an artificially intelligent robot, and see robots that help humankind in action. Learn how students can build their own artificially intelligent robot and how to facilitate student creativity with IBM’s TJBot. Grow your understanding of AI through the lens of equity-centered design thinking, a creative problem-solving process. Familiarize yourself with IBM’s Design Thinking Field Guide activities including empathy mapping and storyboarding, and create a prompt for your students. Examine bias in AI and develop ways to mitigate these preconceived notions. Take this back to the classroom with tools to encourage students to examine and address their own biases. Examine your own tech experience as you explore the roles of gender, race, and bias in technology and STEM fields. Grow your toolkit with resources for diversifying your own computer science and STEM programs so that your students can gain awareness of how AI affects them, and join the fight against algorithmic bias and injustice. Walk a mile in a machine’s shoes and experience the complexity of human language - and what it takes for a computer to understand us! Like art, AI imitates life - and can hold up a mirror to reveal patterns in human speech. See examples of how NLP can be used for social good - get students thinking about other applications of this powerful technology. How can we prepare students for a future we can’t see, when our world is being constantly changed by the advancement of technology? In this course you will understand the effect AI is having on the future of work, and how the skills needed to be successful in the future have changed. Practice and identify these skills with a Scratch project via IBM’s “ML for Kids” and collaborate using pair programming. Build these employability skills in students to prepare them for anything. Can a piece of paper be intelligent? Answer this question as part of a larger discussion around intelligence, then play the role of a computer to understand how a machine learns. Learn more specific subsets of ML by comparing them to how students learn in the classroom, and take away activities to share these concepts with your students.",https://www.mindspark.org/ibm-ai 
Artificial Intelligence,Courseware,Watson Academy,"IBM’s portfolio of business-ready tools, applications and solutions, designed to reduce the costs and hurdles of AI adoption while optimizing outcomes and responsible use of AI. Operationalize AI and transform how work gets done with our proven capabilities and experience with +100 million users. An open, faster, more secure way to move more workloads to cloud and AI. IBM Cloud Paks give developers, data managers and administrators an open environment to quickly build new cloud-native applications, modernize existing applications, and extend the AI capabilities of IBM Watson into their business in a consistent manner across multiple clouds.Our role-based learning is designed to enhance your skills in the marketplace. Progressing through the three levels of our role-based learning paths will help you earn the skills required to compete in this ever evolving, fast paced world of AI. All of our role-based learning starts with an Associate level, comprised of free learning to get you started. The Professional and Advanced levels are offered in two delivery options: Live Delivery or Digital as part of a paid subscription.",https://www.ibm.com/training/artificial-intelligence 
Artificial Intelligence,Courseware,Create a Node-RED starter application,"A flow-based programming tool for wiring together hardware devices, APIs, and online services. Build a low-code chatbot and movie recommender solution using Watson Services and Node-RED. Build an Earthquake Early Warning (EEW) system and visualize historical seismic data sets. Build a ML node for Node-RED using TensorFlow.js.",https://developer.ibm.com/components/node-red/ 
Artificial Intelligence,Software,Project Debater for Academic Use,"Project Debater is the first AI to successfully engage with a human in a live debate. In February 2019, Project Debater debated Mr. Harish Natarajan, one of the world's leading professional debaters in an event held in San Francisco and broadcasted live worldwide. The underlying technologies that enabled the live event are now available as software services that include core natural language understanding capabilities, argument mining, and narrative generation.",https://early-access-program.debater.res.ibm.com/academic_use.html 
Artificial Intelligence,Software,IBM Maximo Visual Inspection,"IBM Maximo Visual Inspection empowers SMEs to label, train and deploy deep learning vision models, without coding or deep learning expertise. It includes the most popular deep learning frameworks and their dependencies, and it is built for easy and rapid deployment and increased team productivity. IBM Maximo Visual Inspection puts the power of computer vision AI capabilities into the hands of your quality control and inspection teams. It makes computer vision, deep learning, and automation more accessible to your technicians as it’s an intuitive toolset for labelling, training, and deploying AI vision models. Built for easy and rapid deployment, simply train your model using our drag and drop visual user interface or import a custom model, and you’re ready to activate when and where you need it using mobile and edge devices. With IBM Maximo Visual Inspection, you can create your own detect and correct solution, with self-learning machine algorithms.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=f9a6c133-fc0c-44ea-967d-626c38efd36a 
Artificial Intelligence,Software,AI Fairness 360,"The AI Fairness 360 package is an extensible open source toolkit that includes a comprehensive set of metrics for datasets and models to test for biases, explanations for these metrics, and algorithms to mitigate bias in datasets and models. It is available in both Python and R languages. This extensible open source toolkit can help you examine, report, and mitigate discrimination and bias in ML models throughout the AI application lifecycle. We invite you to use and improve it. The AI Fairness 360 Python package includes a comprehensive set of metrics for datasets and models to test for biases, explanations for these metrics, and algorithms to mitigate bias in datasets and models. The AI Fairness 360 interactive demo provides a gentle introduction to the concepts and capabilities. The tutorials and other notebooks offer a deeper, data scientist-oriented introduction. The complete API is also available.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=da53c0a2-3b4c-48cc-978a-e55d4b244b83 
Artificial Intelligence,Software,Project CodeNet,"There are a few differentiating features of Project CodeNet when compared to other similar efforts. In addition to the size of the dataset, the code samples are written in over 50 programming languages, though the dominant languages are C++, C, Python, and Java. The code samples in Project CodeNet are annotated with a rich set of information, such as the code size, memory footprint, CPU run time, and status, which indicates acceptance or error types. Over 90% of the problems come with the respective problem description, which contains a concise problem statement, specification of the input format and the output format. When available, we also extracted from the problem description sample input and output, and provide them as part of the dataset. Users can execute the accepted codes samples (over 50% of the submissions are accepted) to extract additional metadata and verify outputs from generative AI models for correctness. Another area that Project CodeNet addressed is the quality of the data samples. From a paper by Allamanis, we learned that quite a large number of frequently used AI for Code datasets have duplicate or near-duplicate code samples, which can inflate performance metrics as much as 100%. In addition, we found that problem-submission style datasets from online judging systems can contain clusters of identical problems, which will certainly skew the performance metrics. One example is POJ-104, in which problems 26 and 62 are identical. Therefore we identified the near-duplicates and the identical problem clusters in Project CodeNet and provide these information for the benefit of the users.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=c8e5aa3a-f0b4-4a20-b469-e3f807f8a849 
Artificial Intelligence,Software,SimulAI,"An extensible Python package with data-driven pipelines for physics-informed ML.The SimulAI toolkit provides easy access to state-of-the-art models and algorithms for physics-informed ML. Currently, it includes the following methods described in the literature: Koopman Autoencoders (experimental) Echo State Networks (experimental GPU support) Operator Inference (OpInf) Variational Encoder-Decoders (VED) Deep Operator Networks (DeepONets) Physics-Informed Neural Networks (PINNs)",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=45f7accb-5834-4f8e-9822-b5d8266a7f4b 
Artificial Intelligence,Software,IBM Digital App Builder,"IBM Digital App Builder is a low-code tool, which helps to quickly create mobile, web and PWA (Progressive Web App) multi-channel applications with AI capabilities powered by Watson services. The apps created using the Digital App Builder leverage IBM Mobile Foundation V8 (on-prem or cloud) for security, backend connectivity, and analytics.The key features of the IBM Digital App Builder are as follows: Use this tool to quickly build digital apps that can run on multiple channels. The Digital App Builder provides the ability to drag-and-drop components to quickly build an app. This app can be targeted to multiple channels, like apps for iOS (iPhone, iPad), Android (Phone, Tabs), Progressive web apps (PWA), and web pages. Easily integrate Watson AI capabilities like Chatbot and Visual Recognition. Adding a chatbot or visual recognition capabilities to the app becomes as easy as adding a control. Also easily train the AI service by adding a set of questions and answers or drag-and-drop a set of images to classify. There is no need for a data scientist to build a complex machine-learning model. Add data bound controls for microservice backends. A wizard can be used to import an Open API specification (Swagger) for a microservice. This helps to create a dataset for building a frontend for the service which is bound to a data-bound UI control in the app. Switch to code view for performing advanced coding on the app. Add push notifications services as part of Engagements. Use Live Update to dynamically toggle app features on or off after the app is live. Code the app by deploying mock REST APIs to mimic an actual microservice in production. An app owner can enable Analytics for the app. The app now sends data to the Mobile Foundation server. The app created uses open source technologies like Cordova, Ionic, and Angular. You can preview the app for various form factors before it is deployed. You can also use the quick start templates to build your apps (for example, Watson chatbot).",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=c4fec5bb-1b96-4054-8b2b-c0cf8ac6045c 
Artificial Intelligence,Software,AI Explainability 360,An open source software toolkit featuring ten explainability methods and two evaluation metrics along with a taxonomy that can help identify gaps where more explainability methods are needed and provide a common platform for their integration.This extensible open source toolkit can help you comprehend how ML models predict labels by various means throughout the AI application lifecycle. We invite you to use it and improve it.,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=6b6bffd4-914e-4a82-8461-f7e6e1f73bb2 
Artificial Intelligence,Software,AI FactSheets 360,"The goal of the FactSheet project is to foster trust in AI by increasing transparencyan increased understanding of how AI was created and deployed and enabling governancethe ability to control how AI is created and deployed. Increased transparency provides information for AI consumers to better understand how the AI modela program component that is generated by learning patterns in training data to make predictions on new data, such as a loan application. or servicean executable program, deployed behind an API, that allows it to respond to program requests from other programs or services* was created. This allows a consumer of the model to determine if it is appropriate for their situation. AI Governance enables an enterprise to specify and enforce policies describing how an AI model or service should be constructed and deployed. This can prevent undesirable situations, such as a model training with unapproved datasets, models having biases, or models having unexpected performance variations.Increasing AI transparency and improving AI Governance are two important use cases for the FactSheet project. We now focus on key ideas that are common to both use cases.",https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=4374a44e-6017-4d13-9d9c-c5ab9e2226e6 
